id,Evaluation,tweet
100035,1,Patiently waiting for g for my luggage to get deliver @AmericanAir 
101737,1,Had a toddler screaming and kicking my seat from la to orlando good thing I was on @VirginAmerica and the mood lighting kept me calm
102474,0,Hi @SouthwestAir! Does anyone still work there? Been on hold for FOUR DAYS now and haven't spoken to a single soul!
10305,0,@Sasquatch80 that's like @united  promising in seat power and they never work.
103415,1,@united This plane smells like Thai food &amp; BO. A delicious combination.
103762,0,~@JZdrojewski: Guarantee our team never travels @AmericanAir again after we've spent more hours on the runway than in the air
104523,1,@JetBlue cheer team didn't arrive at hotel until 5:30am. They have to compete today. Bus you promised never showed.
105196,1,@AmericanAir Is your site for award travel not working?I get an error every flight that i select that says the flight is no longer available
106652,1,@Gogo @AmericanAir @MelodyMendezTV Is wifi supposed to work on the tarmac? I thought it only works in the air.
10698,1,"@DunkinDonuts @JetBlue id like to go  to  Las vegas , never been!  #DunkinGOSweeps"
109315,1,@AmericanAir 7 hrs &amp; counting on hold? R U  gonna cut @PhilGizzi a check for a work day? #titanicairlines  #allhandscurrentlyfapping
111686,1,@JetBlue has won the day with their on hold music. Yes I danced a jig as it played.  #colormebad #notsexyouup #theothersong
111842,1,@JetBlue @HonestlySherry  argh... thats not good.. we have plans at 6pm in vegas.!!
113804,1,"@JetBlue  Aw I wish I remembered her name! Either way, the whole team was great + I was very happy yesterday. Jetblue has never let me down!"
114798,1,"Sad to be leaving #cancun but this #flyfli on @JetBlue works amazing #thanks from 36,000 feet. Next stop #jfk T5"
115665,1,@mistressmatisse @DeltaAssist is terrible.  This is why I sincerely hope that Delta fails to overtake @AlaskaAir as the top carrier here.
11832,1,@united wanted to work but had no service whole trip http://t.co/xsxMICYtiU
119476,1,"@flyworcester and @JetBlue, you had me at hello. #easyaccess #painlesscheckin #nolines #smilingfaces Great way to kick off a honeymoon."
120398,0,@Delta @DeltaAssist Very unfair of you to not carry over Comfort+ fee I paid to new flight when I had to move flight up 1 day. $75 gone :(
121271,1,@united fyi: http://t.co/OQIK0KhylE &amp; beta the _saver award economy &amp; premium cabin_ heat map never seems to work. never any biz saver avail
123320,1,@AlaskaAir thank you! Amazing service and you quickly took card of my issue! Kudos!
124717,0,"So, for @United, my dreadful experience is cause for corporate promotion. No Our apologies for... No We'll look into it...No Pride."
125298,1,Once again Delta never ceases to amaze me . Gave my upgrade away 45 mins early when policy is 30 mins prior to boarding @DeltaAssist
125842,1,@M3Mktg @JetBlue @BWI_Airport @SanDiegoAirport Screw it change the flight to key west instead it's amazing here
126708,0,@DeltaAssist Change in hours is understandable but days????  Like I said...no compensation? Shame on delta
1288,1,@Clutch08 you're going to wish that flight was longer! @VirginAmerica rocks -- I must have been on the flight right before yours!
132266,1,I recommend not using @AmericanAir's website to book tickets. I was double-charged and have been waiting &gt;2.5 months for a refund.
133799,1,Alaska airlines never seems to disappoint me. I had a good flight to Vegas from Anchorage. The crew were very friendly @AlaskaAir
133871,1,.@Delta you should stop saying enjoy your flight the best situation is the not completely miserable flight. Fly @VirginAmerica for that.
13454,1,@AmericanAir How convenient. AA1274 has circuit problems but next flight out of SAT empty enough to accommodate all passengers.
136649,0,Now been on hold with @united for the second time today for over 20 min. Does anyone actually work there?
137381,1,"still on hold with @USAirways &amp; @AmericanAir I give up and will look into transferring my miles. In this day and age, websites should work."
137508,1,There are two screaming children sitting right behind me on my flight. Can I get free booze @VirginAmerica?
138572,1,@SouthwestAir the wifi I bought on my flight yday didn't really work (was too slow to even open my gmail). Is there a way to request refund?
139226,1,"@JetBlue thank you for saving me from the vortex that is #USAirways, flights get missed, I get it, but 4 days for a seat!! WHOA!? Bye AZ "
139317,1,BOS-&gt;ORD on the 05:00 @AmericanAir flight. Waking up for these early birds never seem to get any easier!
139414,1,@AlaskaAir -Outsourcing baggage handlers. Not good for your image.
140017,1,Normally love @VirginAmerica but not having any Sleep Kits available on a red eye is a little frustrating.  And I went straight to work :(
