"","id","weight","airline","tweet"
"1","100154",-1,"VirginAmerica","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!"
"2","100378",-1,"American","@JasonShaw2 I saw your tweets because Chaunette RT'd...this isn't the first time I've seen complaints about @AmericanAir!"
"3","100574",-2,"JetBlue",".@asymmetricinfo: American Express gets dumped -- again. http://t.co/iNSTmIq05T via @BV this is so, so sad for my @JetBlue @Amex card!"
"4","100613",-3,"JetBlue","I would go to Tampa to visit my sister.  I am disabled and being stuck in the house this winter has been brutal.   @JetBlue #FlyingItForward"
"5","100893",0,"United","@united @mstephens7 Look at the bright side, Mike: at least you're not stuck paying a change fee you otherwise would have... &lt;/sarcasm&gt;"
"6","100927",0,"United",". @united you can't waive cancel penalties to at least allow full refund to rebook for @cheertymedad since non-trans? cc: @cheerUPDATES"
"7","101271",-2,"United","yall have Gossip Girls season 6 on international flights? Need to know if I should start it or wait till my 15 hr flight to Dubai @united"
"8","101284",-1,"SouthWest","ICYMI: @SouthwestAir grounds flights after missed inspections. @FlySJC @flySFO &amp; Oak could be affected. Check w/ airline in a.m. @mercnews"
"9","101495",-1,"SouthWest","Southwest Airlines Can Use Planes That Missed Inspection, FAA Says :http://t.co/yFihUQTjSO @FAANews @SouthwestAir"
"10","101654",-1,"SouthWest","@TMadCLE They are the WORST!! Always fly @SouthwestAir or @AlaskaAir"
"11","101754",-1,"SouthWest","@SouthwestAir I have a nonstop flight for tomorrow night from RDU to HOU. Any idea if it will be cancelled yet?"
"12","101993",0,"United","Is it too late for a refund? @cnnbrk @united"
"13","102034",-1,"AlaskaAir","@AlaskaAir The part that isn't updated isn't on Alaska, so it might not be a problem if that's just how the app is."
"14","102222",0,"SouthWest","@SouthwestAir can't refund $393.77 f/ flight!!! ""No problem, just hold on to confirmation number"" customer service rep didn't say it expires"
"15","102428",1,"VirginAmerica","I love that @VirginAmerica has a plane named 'Screw it, let's do it"""
"16","102529",1,"VirginAmerica","Beautiful day at SFO today. Waiting for my @VirginAmerica ride back to IAD http://t.co/ym5jywl9DG"
"17","10262",1,"JetBlue","@breagrant @jetblue its the one that smells like fresh baked cookies :)"
"18","102652",-1,"American","@cyndaminthia @AmericanAir Hi Cynthia. We apologize for any inconvenience. I will have a customer service rep call you ASAP."
"19","102703",-1,"SouthWest","Hey @SouthwestAir if you're going to delay the flight 2+ hours, maybe don't delete my e-boarding pass from the app, just a thought"
"20","102777",1,"JetBlue","_@JetBlue: @dee_miranda Welcome! We're thrilled to hear this. We can't wait to have you back onboard again!__ April 2nd may have to upgrade"
"21","102848",-2,"United",".@United Airlines issues warning to pilots #travel http://t.co/UCExDk0cqy"
"22","102883",-1,"JetBlue","Real appreciation to @JetBlue customer service. Just booked 2 flights on the wrong date by accident â€” on hold for 0 minutes, resolved in 13."
"23","102894",-2,"SouthWest","@danberger @SouthwestAir first world problem!  Poor you!"
