"","tweet"
"1","@jordanhembrough @united I just flew them to Phoenix, got my bag and locks were also ripped off - airlines getting worse and worse !!"
"2","Another @united flight = another long delay. Sitting on the tarmac for 45 min so far."
"3","@AmericanAir pd $129 in advc for main cabin xtra seat from bcn 2 jfk and my seat was switched. flew 8 hrs w. no leg room. pls help."
"4","@AmericanAir Flight 1242 is delayed, 1 gate agent handling 100 plus customers"
"5","@IIJERiiCHOII @VirginAmerica What. The. Fuck."
"6","Man @united terminal C in newark is a f'in mess. Ugly, paint is chipped everywhere, missing roof panels, this is like Somalia airport level"
"7","@IIJERiiCHOII @VirginAmerica we all knew there had to be one PAX travel horror story sorry it was you man"
"8","@IIJERiiCHOII @VirginAmerica And I thought I52 when somebody broke into Mianite was bad..."
"9","@united Lost my iPhone on UA 1439 on 8/30. Your staff four it, yay! But now it's sitting at a United counter... http://t.co/7Z3CmXtY4h"
"10","@united likes to lie to its customer, I advise all to fly @giants @JetBlue watch the game in air on @DIRECTV"
"11","@united woke up at 3:50am &gt; back to sfo and then flight got delayed in Managua for 2 hours. Redid flights now waiting for a connecting agh!"
"12","Homeward bound @mguino1. I'm at the @JetBlue terminal in #DC. Landing late so don't wait up 4 me."
"13","@AlexBorstein I flew @VirginAmerica this weekend to LA and it was fantastic.  Never will my ass sit in a @SouthwestAir plane again. Cheers!"
"14","@SouthwestAir If my kids (14 &amp; 11) are flying home from grandparents at FLL, can grandparents take them thru Security &amp; wait w/them at gate?"
"15","Never been serenaded in the air before. Best. Flight. Ever. #flight360 @VirginAmerica"
"16","@A_Carignan38 @united at least they responded. 4 hours late just like their flights."
"17","@united we are on standby if the 2 flights don't have room then we stay in Seattle an extra day and I miss my first day of school!"
"18","Ugh, another plane with Dish TV instead of Internet. Why not both? WHY DO YOU HAVE TO SUCK, @UNITED?!?"
"19","I had a flight yesterday from Long beach to Boston and sadly my TV was broken, having a TV in a long haul flight is essential 2 me @JetBlue"
"20","@nemanjastuff @SouthwestAir i hope you fond your bag. It sucks when something like this happens to you."
"21","We've been sitting on the runway for 2.5 hours &amp; haven't moved. They should have deplaned everyone. Ridiculous @southwestair #notok #itshot"
"22","It's profit over comfort - stingy legroom = disrespect 2 customers @JetBlue is the rare bird w/room 2 stretch!"
"23","Stuck at O'Hare waiting for @united flight 738 to take off. First a late aircraft; now a maintenance issue? Going on a 3hr delay! Ugh!"
"24","@AmericanAir 6 hour flight delay? What's up with that? I didn't pay to wait past customs for 6 hours"
"25","@rifu_ Yeah, I'd broken the 1000 puzzle piece mark at PAX this weekend... Let's see if @united lost and found can bring her home."
"26","No airline, none, is the constant disappointment that @AmericanAir is. Cancelled flight. No remedy."
"27","@united I will be contacting corporate in writing explaining my disappointment"
"28","@AmericanAir Really?!?! After last AA 3-hr flight delay on the tarmac in OKC 3 mths ago, I have another one in Tulsa? C'mon man!"
"29","Have decided @United is the worst airline and will try to only fly @Virgin &amp; @AlaskaAir from now on. #late #Flight268"
"30","Not only guilted into giving up aisle for a middle seat, my @VirginAmerica flt. spnsrd by screaming babies. So much for main cabin select."
"31","incredibly disappointed @JetBlue for causing me major issues and NOT making things right!  #badcustomerservice #travel #airline #annoyed"
"32","@Delta @DeltaAssist did I mention your CSR ""Zach"" was rude and condescending?"
"33","Apparently #thestruggleisreal for @Delta @DeltaAssist both of my flights having issues today."
"34","Mom fought with @united to switch the ticket so I can go to #NOLA w/ her to see my sister. But no go... #notcool #nonamechange #boo"
"35","@Clutch08 you're going to wish that flight was longer! @VirginAmerica rocks -- I must have been on the flight right before yours!"
"36","I could take an Uber halfway across the country for what @AmericanAir charges in change fees! Ridiculous! And processing fees on top of that"
"37","First flight today got delayed&amp;rebooked And now here we are in Chicago on a plane at the gate for an hour delayed. @AmericanAir #craziness"
"38","Photo: everyone hates me. two more hours #sick #diaster #california @jetblue http://t.co/G5qdzVaVQ6"
"39","@nickyromero @SouthwestAir ouch! How many new tracks that are finished were on that bad boy?"
"40","@VirginAmerica  I suggest you have a monthly calendar up on your site so the consumers can see which dates they can fly out. #Annoyed"
"41","@AmericanAir I want to know the possibility of flight cancelled/delayed due to bad weather in. Buffalo at the beginning of December."
"42","Day 6 of my luggage missing and got everything crossed @united can actually work out where it is today!!!!"
"43","Just finished boarding a flight on @united airlines at LAX....and it was PROBABLY the worst experience I've had yet. Miserable, rude staff."
"44","If you're a parent traveling with 5 kids under age 8, it sucks to be on @AmericanAir / @USAirways. No early boarding on US 2120. #turnedaway"
"45","@pulpit @SouthwestAir ugh sorry"
"46","@ChuckCJohnson @rageahol @AmericanAir no, you fucking idiot"
"47","2/2 @AmericanAir Told me #AA said ontime departure more important than customers. AA customer 4 10+ yrs. means nada. #customerservicefail"
"48","Really wish @VirginAmerica flew into Burbank. Then I would never ever need to fly @SouthwestAir"
"49","@united You lost my bag, and delivered it to the wrong city in Montana. Yoyce from premier baggage offered no help, told me she know nothing"
"50","@FlyFrontier the Denver supervisor is the worst, she was mad at me that my flight was delayed 4 hours #smh gotta stay with @VirginAmerica"
"51","@AmericanAir  Any chance of getting an iPhone app that actually does something useful out if this merger?  Yours is killing me."
"52","Another day, another delay on @united"
"53","@AmericanAir I have several times and no response on how you are going to fix it."
"54","Oh @united, making us get on late flight bc orig canceled, then ""uncanceling"" the orig flight but refusing to move our bags back. Klassy."
"55","@JamesAAuthors @DaveAAuthors @MattAAuthors @ZacAAuthors @AmericanAir can't wait to meet u guys in October(:"
"56","@AmericanAir My mom (&amp; other pax's) are currently stuck on a plane in MKE. Waiting for gas to go to ORD. Why not let them off in MKE??"
"57","@united Worst Airline. Worst Customer Service. Will NEVER EVER EVER fly with you again."
"58","Blah. One flight delayed, one canceled, two destination hotel reservations lost due to rebooking. @AmericanAir"
"59","@SouthwestAir. Your plan to use similar airframes to mitigate maintenance issues is epic fail. #648 Den-&gt;PHL 3 hours late is proof."
"60","Shout out to the crew of @AmericanAir Eagle flight 2848. Terrible weather in the upper Midwest and barely a bump! "
"61","Was supposed to leave at 4:40, just know taxiing out-- 4 HOURS later and they can't even comp a drink!!?? Bad form @united"
"62","Day keeps getting better. After over four hour delay, four drunks were just taken off LAS-bound @AmericanAir flight by police."
"63",".@SouthwestAir ugh stop hitting on me you sex perverts http://t.co/0otkUKoDD0"
"64","How is it an airline can't figure out how to get its people to their planes on time? Come on @SouthwestAir 30 min delay from bad management."
"65","3 weekends, 3 cities, 3 airlines, 3 delayed flights @Delta @united @JetBlue #airlineindustry"
"66","@united: What was the flight number? Sitting on the tarmac usually is due to caption waiting for ATC clearance for take-off. JP FLIGHT 1064"
"67","@united no longer gives peanuts or any other snacks on 4 hour domestic flights #wtf"
"68","@united excuse me, I'm platinum and upgraded to deal with a sore back, and got stuck with a seat that doesn't recline. This sucks"
"69","@united I have united club membership (and mileage plus status) so that's not the problem. This trip it was  @TK_US ."
"70","I took 6 flights with @Delta this week with exceptional results. Two flights on @united and I've got a delay overnight and a late final leg."
